Fecha,APP ID,Game Name,Device,Total Registered Members,Total Verified Members,Newly Registered Members,Newly Verified Members,Newly Unregistered Members,Descargas,DAU,ARPDAU,Charged UU,Oro_Gastado,ARPU,ARPPU,Complimentary Gold Spent,Ingresos_USD,Oro_Gastado_USD,Juego
2022-06-01,50784,Eros Fantasy,TOTAL,211492,87826,255,107,0,42,5020,5.47,9,27437,0.13,3048.56,0,274.37,274.37,Proyecto Aurora
2022-06-02,50784,Eros Fantasy,TOTAL,211862,87956,370,130,0,52,5147,9.08,21,46731,0.22,2225.29,0,467.31,467.31,Proyecto Aurora
2022-06-03,50784,Eros Fantasy,TOTAL,212369,88140,507,184,0,84,5170,24.29,30,125566,0.59,4185.53,0,1255.66,1255.66,Proyecto Aurora
2022-06-04,50784,Eros Fantasy,TOTAL,212729,88276,361,136,1,60,4875,12.15,27,59213,0.28,2193.07,0,592.13,592.13,Proyecto Aurora
2022-06-05,50784,Eros Fantasy,TOTAL,213111,88435,382,159,0,66,4932,17.01,28,83913,0.39,2996.89,0,839.13,839.13,Proyecto Aurora
2022-06-06,50784,Eros Fantasy,TOTAL,213440,88559,330,124,1,50,4995,13.52,20,67513,0.32,3375.65,0,675.13,675.13,Proyecto Aurora
2022-06-07,50784,Eros Fantasy,TOTAL,213754,88681,315,122,1,53,4936,16.16,27,79764,0.37,2954.22,0,797.64,797.64,Proyecto Aurora
2022-06-08,50784,Eros Fantasy,TOTAL,214112,88829,358,148,0,44,5044,23.21,41,117094,0.55,2855.95,0,1170.94,1170.94,Proyecto Aurora
2022-06-09,50784,Eros Fantasy,TOTAL,214505,88984,393,155,0,51,5014,8.31,22,41683,0.19,1894.68,0,416.83,416.83,Proyecto Aurora
2022-06-10,50784,Eros Fantasy,TOTAL,214846,89102,342,118,1,138,4961,22.83,51,113264,0.53,2220.86,0,1132.64,1132.64,Proyecto Aurora
2022-06-11,50784,Eros Fantasy,TOTAL,215406,89330,560,228,0,78,5126,42.35,62,217107,1.01,3501.73,0,2171.07,2171.07,Proyecto Aurora
