Event,Date,Nutaku Gold,DAY,Month,Revenue,Fecha,Juego
nc_spent,2024-12-03T17:37:04.837036Z,900.0,3/12/2024,diciembre-2024,9.0,2024-12-03 17:37:04.837036+00:00,Proyecto Aurora
nc_spent,2024-12-03T17:41:12.862961Z,1000.0,3/12/2024,diciembre-2024,10.0,2024-12-03 17:41:12.862961+00:00,Proyecto Aurora
nc_spent,2024-12-03T17:44:55.827691Z,900.0,3/12/2024,diciembre-2024,9.0,2024-12-03 17:44:55.827691+00:00,Proyecto Aurora
nc_spent,2024-12-03T18:15:45.686973Z,1350.0,3/12/2024,diciembre-2024,13.5,2024-12-03 18:15:45.686973+00:00,Proyecto Aurora
nc_spent,2024-12-03T18:15:54.967943Z,1350.0,3/12/2024,diciembre-2024,13.5,2024-12-03 18:15:54.967943+00:00,Proyecto Aurora
nc_spent,2024-12-03T18:16:05.451912Z,1350.0,3/12/2024,diciembre-2024,13.5,2024-12-03 18:16:05.451912+00:00,Proyecto Aurora
nc_spent,2024-12-03T18:16:15.288248Z,1350.0,3/12/2024,diciembre-2024,13.5,2024-12-03 18:16:15.288248+00:00,Proyecto Aurora
nc_spent,2024-12-03T18:16:23.53908Z,1350.0,3/12/2024,diciembre-2024,13.5,2024-12-03 18:16:23.539080+00:00,Proyecto Aurora
nc_spent,2024-12-03T18:16:33.714736Z,1350.0,3/12/2024,diciembre-2024,13.5,2024-12-03 18:16:33.714736+00:00,Proyecto Aurora
nc_spent,2024-12-03T18:16:44.122682Z,1350.0,3/12/2024,diciembre-2024,13.5,2024-12-03 18:16:44.122682+00:00,Proyecto Aurora
nc_spent,2024-12-03T18:16:53.50097Z,1350.0,3/12/2024,diciembre-2024,13.5,2024-12-03 18:16:53.500970+00:00,Proyecto Aurora
nc_spent,2024-12-03T18:24:57.813952Z,1999.0,3/12/2024,diciembre-2024,19.99,2024-12-03 18:24:57.813952+00:00,Proyecto Aurora
nc_spent,2024-12-03T18:32:27.608855Z,1000.0,3/12/2024,diciembre-2024,10.0,2024-12-03 18:32:27.608855+00:00,Proyecto Aurora
nc_spent,2024-12-03T18:33:09.697878Z,2000.0,3/12/2024,diciembre-2024,20.0,2024-12-03 18:33:09.697878+00:00,Proyecto Aurora
nc_spent,2024-12-03T18:40:45.7951Z,3000.0,3/12/2024,diciembre-2024,30.0,2024-12-03 18:40:45.795100+00:00,Proyecto Aurora
nc_spent,2024-12-03T18:41:26.265052Z,1999.0,3/12/2024,diciembre-2024,19.99,2024-12-03 18:41:26.265052+00:00,Proyecto Aurora
nc_spent,2024-12-03T18:41:42.622385Z,1999.0,3/12/2024,diciembre-2024,19.99,2024-12-03 18:41:42.622385+00:00,Proyecto Aurora
nc_spent,2024-12-03T19:20:30.928029Z,900.0,3/12/2024,diciembre-2024,9.0,2024-12-03 19:20:30.928029+00:00,Proyecto Aurora
nc_spent,2024-12-03T19:29:39.349174Z,4900.0,3/12/2024,diciembre-2024,49.0,2024-12-03 19:29:39.349174+00:00,Proyecto Aurora
nc_spent,2024-12-03T19:38:45.398416Z,699.0,3/12/2024,diciembre-2024,6.99,2024-12-03 19:38:45.398416+00:00,Proyecto Aurora
nc_spent,2024-12-03T19:53:00.391773Z,3000.0,3/12/2024,diciembre-2024,30.0,2024-12-03 19:53:00.391773+00:00,Proyecto Aurora
nc_spent,2024-12-03T20:00:22.640556Z,1000.0,3/12/2024,diciembre-2024,10.0,2024-12-03 20:00:22.640556+00:00,Proyecto Aurora
nc_spent,2024-12-03T20:14:48.366732Z,1000.0,3/12/2024,diciembre-2024,10.0,2024-12-03 20:14:48.366732+00:00,Proyecto Aurora
nc_spent,2024-12-03T20:42:25.275502Z,2500.0,3/12/2024,diciembre-2024,25.0,2024-12-03 20:42:25.275502+00:00,Proyecto Aurora
nc_spent,2024-12-03T20:42:44.081262Z,1399.0,3/12/2024,diciembre-2024,13.99,2024-12-03 20:42:44.081262+00:00,Proyecto Aurora
nc_spent,2024-12-03T22:18:19.155872Z,100.0,3/12/2024,diciembre-2024,1.0,2024-12-03 22:18:19.155872+00:00,Proyecto Aurora
nc_spent,2024-12-03T22:33:25.053688Z,2000.0,3/12/2024,diciembre-2024,20.0,2024-12-03 22:33:25.053688+00:00,Proyecto Aurora
nc_spent,2024-12-03T22:51:59.711821Z,1399.0,3/12/2024,diciembre-2024,13.99,2024-12-03 22:51:59.711821+00:00,Proyecto Aurora
nc_spent,2024-12-03T23:19:20.54556Z,900.0,3/12/2024,diciembre-2024,9.0,2024-12-03 23:19:20.545560+00:00,Proyecto Aurora
nc_spent,2024-12-03T23:20:30.372845Z,900.0,3/12/2024,diciembre-2024,9.0,2024-12-03 23:20:30.372845+00:00,Proyecto Aurora
nc_spent,2024-12-03T23:53:15.254598Z,3000.0,3/12/2024,diciembre-2024,30.0,2024-12-03 23:53:15.254598+00:00,Proyecto Aurora
nc_spent,2024-12-03T23:57:13.848641Z,900.0,3/12/2024,diciembre-2024,9.0,2024-12-03 23:57:13.848641+00:00,Proyecto Aurora
nc_spent,2024-12-03T23:57:31.907545Z,900.0,3/12/2024,diciembre-2024,9.0,2024-12-03 23:57:31.907545+00:00,Proyecto Aurora
nc_spent,2024-12-03T23:59:22.73921Z,3000.0,3/12/2024,diciembre-2024,30.0,2024-12-03 23:59:22.739210+00:00,Proyecto Aurora
nc_spent,2024-12-04T00:43:53.380525Z,1999.0,4/12/2024,diciembre-2024,19.99,2024-12-04 00:43:53.380525+00:00,Proyecto Aurora
nc_spent,2024-12-04T00:59:17.828259Z,9999.0,4/12/2024,diciembre-2024,99.99,2024-12-04 00:59:17.828259+00:00,Proyecto Aurora
nc_spent,2024-12-04T02:12:50.352311Z,3000.0,4/12/2024,diciembre-2024,30.0,2024-12-04 02:12:50.352311+00:00,Proyecto Aurora
nc_spent,2024-12-04T02:13:51.833849Z,4900.0,4/12/2024,diciembre-2024,49.0,2024-12-04 02:13:51.833849+00:00,Proyecto Aurora
nc_spent,2024-12-04T02:16:35.492037Z,900.0,4/12/2024,diciembre-2024,9.0,2024-12-04 02:16:35.492037+00:00,Proyecto Aurora
nc_spent,2024-12-04T02:23:55.654244Z,100.0,4/12/2024,diciembre-2024,1.0,2024-12-04 02:23:55.654244+00:00,Proyecto Aurora
nc_spent,2024-12-04T02:36:54.076131Z,100.0,4/12/2024,diciembre-2024,1.0,2024-12-04 02:36:54.076131+00:00,Proyecto Aurora
nc_spent,2024-12-04T02:37:08.667976Z,100.0,4/12/2024,diciembre-2024,1.0,2024-12-04 02:37:08.667976+00:00,Proyecto Aurora
nc_spent,2024-12-04T02:37:16.352052Z,100.0,4/12/2024,diciembre-2024,1.0,2024-12-04 02:37:16.352052+00:00,Proyecto Aurora
nc_spent,2024-12-04T02:37:27.133405Z,100.0,4/12/2024,diciembre-2024,1.0,2024-12-04 02:37:27.133405+00:00,Proyecto Aurora
nc_spent,2024-12-04T03:14:13.221462Z,900.0,4/12/2024,diciembre-2024,9.0,2024-12-04 03:14:13.221462+00:00,Proyecto Aurora
nc_spent,2024-12-04T03:14:24.756918Z,900.0,4/12/2024,diciembre-2024,9.0,2024-12-04 03:14:24.756918+00:00,Proyecto Aurora
nc_spent,2024-12-04T03:18:04.607456Z,900.0,4/12/2024,diciembre-2024,9.0,2024-12-04 03:18:04.607456+00:00,Proyecto Aurora
nc_spent,2024-12-04T03:18:17.194864Z,900.0,4/12/2024,diciembre-2024,9.0,2024-12-04 03:18:17.194864+00:00,Proyecto Aurora
nc_spent,2024-12-04T03:18:27.977083Z,900.0,4/12/2024,diciembre-2024,9.0,2024-12-04 03:18:27.977083+00:00,Proyecto Aurora
nc_spent,2024-12-04T03:37:02.489916Z,900.0,4/12/2024,diciembre-2024,9.0,2024-12-04 03:37:02.489916+00:00,Proyecto Aurora
nc_spent,2024-12-04T04:21:41.239983Z,1999.0,4/12/2024,diciembre-2024,19.99,2024-12-04 04:21:41.239983+00:00,Proyecto Aurora
nc_spent,2024-12-04T05:24:12.690558Z,1000.0,4/12/2024,diciembre-2024,10.0,2024-12-04 05:24:12.690558+00:00,Proyecto Aurora
nc_spent,2024-12-04T06:07:00.376513Z,500.0,4/12/2024,diciembre-2024,5.0,2024-12-04 06:07:00.376513+00:00,Proyecto Aurora
nc_spent,2024-12-04T06:26:29.905317Z,100.0,4/12/2024,diciembre-2024,1.0,2024-12-04 06:26:29.905317+00:00,Proyecto Aurora
nc_spent,2024-12-04T06:37:24.785215Z,1000.0,4/12/2024,diciembre-2024,10.0,2024-12-04 06:37:24.785215+00:00,Proyecto Aurora
nc_spent,2024-12-04T06:37:32.107927Z,3000.0,4/12/2024,diciembre-2024,30.0,2024-12-04 06:37:32.107927+00:00,Proyecto Aurora
nc_spent,2024-12-04T06:37:39.6063Z,4900.0,4/12/2024,diciembre-2024,49.0,2024-12-04 06:37:39.606300+00:00,Proyecto Aurora
nc_spent,2024-12-04T06:42:49.707587Z,1999.0,4/12/2024,diciembre-2024,19.99,2024-12-04 06:42:49.707587+00:00,Proyecto Aurora
nc_spent,2024-12-04T06:42:56.472767Z,1999.0,4/12/2024,diciembre-2024,19.99,2024-12-04 06:42:56.472767+00:00,Proyecto Aurora
nc_spent,2024-12-04T06:43:03.290186Z,1999.0,4/12/2024,diciembre-2024,19.99,2024-12-04 06:43:03.290186+00:00,Proyecto Aurora
nc_spent,2024-12-04T06:43:09.913945Z,1999.0,4/12/2024,diciembre-2024,19.99,2024-12-04 06:43:09.913945+00:00,Proyecto Aurora
nc_spent,2024-12-04T06:52:17.565094Z,1000.0,4/12/2024,diciembre-2024,10.0,2024-12-04 06:52:17.565094+00:00,Proyecto Aurora
nc_spent,2024-12-04T07:36:28.275362Z,1999.0,4/12/2024,diciembre-2024,19.99,2024-12-04 07:36:28.275362+00:00,Proyecto Aurora
nc_spent,2024-12-04T07:36:34.870547Z,100.0,4/12/2024,diciembre-2024,1.0,2024-12-04 07:36:34.870547+00:00,Proyecto Aurora
nc_spent,2024-12-04T07:36:46.40275Z,100.0,4/12/2024,diciembre-2024,1.0,2024-12-04 07:36:46.402750+00:00,Proyecto Aurora
nc_spent,2024-12-04T08:06:35.374491Z,1350.0,4/12/2024,diciembre-2024,13.5,2024-12-04 08:06:35.374491+00:00,Proyecto Aurora
nc_spent,2024-12-04T08:52:51.151824Z,1000.0,4/12/2024,diciembre-2024,10.0,2024-12-04 08:52:51.151824+00:00,Proyecto Aurora
nc_spent,2024-12-04T09:24:41.746377Z,1999.0,4/12/2024,diciembre-2024,19.99,2024-12-04 09:24:41.746377+00:00,Proyecto Aurora
nc_spent,2024-12-04T09:34:47.269276Z,1999.0,4/12/2024,diciembre-2024,19.99,2024-12-04 09:34:47.269276+00:00,Proyecto Aurora
nc_spent,2024-12-04T10:11:52.794604Z,2500.0,4/12/2024,diciembre-2024,25.0,2024-12-04 10:11:52.794604+00:00,Proyecto Aurora
nc_spent,2024-12-04T10:12:21.341703Z,100.0,4/12/2024,diciembre-2024,1.0,2024-12-04 10:12:21.341703+00:00,Proyecto Aurora
