
Fecha,Año,Trimestre,Mes,Mes_Nombre,DiaSemana,DiaSemana_Nombre,Plataforma,Juego,DAU,Descargas,Ingresos_USD,Ingresos_Brutos_USD,Unidades_Vendidas,Usuarios_Concurrentes_Pico,Oro_Gastado_USD,ARPDAU,ARPU,ARPPU
2022-06-01,2022,2022Q2,6,junio,2,miércoles,Canal A,Proyecto Aurora,1294,0.0,428.44,449.68,44.0,83.0,,,,
2022-06-01,2022,2022Q2,6,junio,2,miércoles,Canal B,Proyecto Aurora,5020,42.0,274.37,,,,274.37,5.47,0.13,3048.56
2022-06-02,2022,2022Q2,6,junio,3,jueves,Canal A,Proyecto Aurora,1315,0.0,1195.96,1294.24,67.0,80.0,,,,
2022-06-02,2022,2022Q2,6,junio,3,jueves,Canal B,Proyecto Aurora,5147,52.0,467.31,,,,467.31,9.08,0.22,2225.29
2022-06-03,2022,2022Q2,6,junio,4,viernes,Canal A,Proyecto Aurora,1355,0.0,2129.4700000000003,2304.4300000000003,117.0,87.0,,,,
2022-06-03,2022,2022Q2,6,junio,4,viernes,Canal B,Proyecto Aurora,5170,84.0,1255.66,,,,1255.66,24.29,0.59,4185.53
2022-06-04,2022,2022Q2,6,junio,5,sábado,Canal A,Proyecto Aurora,1307,0.0,941.37,1031.35,83.0,86.0,,,,
2022-06-04,2022,2022Q2,6,junio,5,sábado,Canal B,Proyecto Aurora,4875,60.0,592.13,,,,592.13,12.15,0.28,2193.07
2022-06-05,2022,2022Q2,6,junio,6,domingo,Canal A,Proyecto Aurora,1378,0.0,1591.66,1732.55,136.0,96.0,,,,
2022-06-05,2022,2022Q2,6,junio,6,domingo,Canal B,Proyecto Aurora,4932,66.0,839.13,,,,839.13,17.01,0.39,2996.89
2022-06-06,2022,2022Q2,6,junio,0,lunes,Canal A,Proyecto Aurora,1400,223.0,1277.09,1376.58,108.0,90.0,,,,
2022-06-06,2022,2022Q2,6,junio,0,lunes,Canal B,Proyecto Aurora,4995,50.0,675.13,,,,675.13,13.52,0.32,3375.65
2022-06-07,2022,2022Q2,6,junio,1,martes,Canal A,Proyecto Aurora,1443,114.0,1374.42,1500.34,130.0,84.0,,,,
2022-06-07,2022,2022Q2,6,junio,1,martes,Canal B,Proyecto Aurora,4936,53.0,797.64,,,,797.64,16.16,0.37,2954.22
2022-06-08,2022,2022Q2,6,junio,2,miércoles,Canal A,Proyecto Aurora,1430,0.0,953.79,1059.94,79.0,88.0,,,,
2022-06-08,2022,2022Q2,6,junio,2,miércoles,Canal B,Proyecto Aurora,5044,44.0,1170.94,,,,1170.94,23.21,0.55,2855.95
2022-06-09,2022,2022Q2,6,junio,3,jueves,Canal A,Proyecto Aurora,1374,49.0,406.24,439.98,36.0,99.0,,,,
2022-06-09,2022,2022Q2,6,junio,3,jueves,Canal B,Proyecto Aurora,5014,51.0,416.83,,,,416.83,8.31,0.19,1894.68
2022-06-10,2022,2022Q2,6,junio,4,viernes,Canal A,Proyecto Aurora,1454,69.0,2234.23,2381.7,142.0,91.0,,,,
2022-06-10,2022,2022Q2,6,junio,4,viernes,Canal B,Proyecto Aurora,4961,138.0,1132.64,,,,1132.64,22.83,0.53,2220.86
2022-06-11,2022,2022Q2,6,junio,5,sábado,Canal A,Proyecto Aurora,1420,52.0,1834.73,1961.28,115.0,113.0,,,,
2022-06-11,2022,2022Q2,6,junio,5,sábado,Canal B,Proyecto Aurora,5126,78.0,2171.07,,,,2171.07,42.35,1.01,3501.73
2022-06-12,2022,2022Q2,6,junio,6,domingo,Canal A,Proyecto Aurora,1498,0.0,1188.01,1288.1,78.0,126.0,,,,
2022-06-12,2022,2022Q2,6,junio,6,domingo,Canal B,Proyecto Aurora,5203,66.0,1086.44,,,,1086.44,20.88,0.5,2414.31
2022-06-13,2022,2022Q2,6,junio,0,lunes,Canal A,Proyecto Aurora,1478,131.0,1194.12,1302.17,80.0,118.0,,,,
2022-06-13,2022,2022Q2,6,junio,0,lunes,Canal B,Proyecto Aurora,5261,61.0,896.08,,,,896.08,17.03,0.42,2800.25
2022-06-14,2022,2022Q2,6,junio,1,martes,Canal A,Proyecto Aurora,1506,143.0,696.99,743.36,57.0,123.0,,,,
2022-06-14,2022,2022Q2,6,junio,1,martes,Canal B,Proyecto Aurora,5247,59.0,663.7,,,,663.7,12.65,0.31,3318.5
2022-06-15,2022,2022Q2,6,junio,2,miércoles,Canal A,Proyecto Aurora,1498,116.0,766.3800000000001,842.97,63.0,121.0,,,,
2022-06-15,2022,2022Q2,6,junio,2,miércoles,Canal B,Proyecto Aurora,5115,43.0,468.82,,,,468.82,9.17,0.22,1953.42
2022-06-16,2022,2022Q2,6,junio,3,jueves,Canal A,Proyecto Aurora,1519,102.0,559.72,612.76,71.0,127.0,,,,
2022-06-16,2022,2022Q2,6,junio,3,jueves,Canal B,Proyecto Aurora,5172,51.0,530.89,,,,530.89,10.26,0.24,2528.05
2022-06-17,2022,2022Q2,6,junio,4,viernes,Canal A,Proyecto Aurora,1521,139.0,834.62,929.47,90.0,108.0,,,,
2022-06-17,2022,2022Q2,6,junio,4,viernes,Canal B,Proyecto Aurora,5187,56.0,428.25,,,,428.25,8.26,0.2,1044.51
2022-06-18,2022,2022Q2,6,junio,5,sábado,Canal A,Proyecto Aurora,1430,123.0,960.5,1084.36,105.0,88.0,,,,
2022-06-18,2022,2022Q2,6,junio,5,sábado,Canal B,Proyecto Aurora,4861,46.0,330.8,,,,330.8,6.81,0.15,1837.78
2022-06-19,2022,2022Q2,6,junio,6,domingo,Canal A,Proyecto Aurora,1477,124.0,416.37,446.47,52.0,100.0,,,,
2022-06-19,2022,2022Q2,6,junio,6,domingo,Canal B,Proyecto Aurora,4803,36.0,507.3,,,,507.3,10.56,0.23,3902.31
2022-06-20,2022,2022Q2,6,junio,0,lunes,Canal A,Proyecto Aurora,1495,114.0,738.59,809.75,79.0,83.0,,,,
2022-06-20,2022,2022Q2,6,junio,0,lunes,Canal B,Proyecto Aurora,4965,43.0,219.35,,,,219.35,4.42,0.1,1462.33
2022-06-21,2022,2022Q2,6,junio,1,martes,Canal A,Proyecto Aurora,1459,115.0,378.84,413.46,51.0,81.0,,,,
2022-06-21,2022,2022Q2,6,junio,1,martes,Canal B,Proyecto Aurora,4840,53.0,156.43,,,,156.43,3.23,0.07,1117.36
2022-06-22,2022,2022Q2,6,junio,2,miércoles,Canal A,Proyecto Aurora,1404,76.0,557.73,610.9300000000001,65.0,83.0,,,,
2022-06-22,2022,2022Q2,6,junio,2,miércoles,Canal B,Proyecto Aurora,4636,36.0,169.89,,,,169.89,3.66,0.08,1061.81
2022-06-23,2022,2022Q2,6,junio,3,jueves,Canal A,Proyecto Aurora,1404,86.0,1570.59,1655.09,100.0,84.0,,,,
2022-06-23,2022,2022Q2,6,junio,3,jueves,Canal B,Proyecto Aurora,4600,43.0,120.91,,,,120.91,2.63,0.06,1511.38
2022-06-24,2022,2022Q2,6,junio,4,viernes,Canal A,Proyecto Aurora,1472,146.0,1477.47,1589.64,99.0,98.0,,,,
2022-06-24,2022,2022Q2,6,junio,4,viernes,Canal B,Proyecto Aurora,4936,89.0,2946.96,,,,2946.96,59.7,1.34,3467.01
2022-06-25,2022,2022Q2,6,junio,5,sábado,Canal A,Proyecto Aurora,1460,170.0,1223.93,1305.64,89.0,92.0,,,,
2022-06-25,2022,2022Q2,6,junio,5,sábado,Canal B,Proyecto Aurora,4868,68.0,801.49,,,,801.49,16.46,0.36,2289.97
2022-06-26,2022,2022Q2,6,junio,6,domingo,Canal A,Proyecto Aurora,1524,153.0,1000.94,1071.8,61.0,123.0,,,,
2022-06-26,2022,2022Q2,6,junio,6,domingo,Canal B,Proyecto Aurora,4804,59.0,366.98,,,,366.98,7.64,0.17,2446.53
2022-06-27,2022,2022Q2,6,junio,0,lunes,Canal A,Proyecto Aurora,1524,150.0,993.24,1048.03,73.0,106.0,,,,
