Date,Product(ID#),Game,Item(ID#),Description,Category,Country Code,Country,Region,Gross Units Sold,Chargeback/Returns,Net Units Sold, Average Price,Currency,Gross Steam Sales (USD),Chargeback/Returns (USD),VAT/Tax (USD),Net Steam Sales (USD)
2022-06-01,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,AU,Australia,Oceania,2,0,2,6.50,USD,12.9900,0.0000,-1.1800,11.8100
2022-06-01,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,CA,Canada,North America,1,0,1,15.26,USD,15.2600,0.0000,-1.7600,13.5000
2022-06-01,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,CZ,Czech Republic,Eastern Europe,1,0,1,3.00,USD,3.0000,0.0000,-0.5200,2.4800
2022-06-01,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,DK,Denmark,Western Europe,1,0,1,3.00,USD,3.0000,0.0000,-0.6000,2.4000
2022-06-01,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,FI,Finland,Western Europe,2,0,2,8.49,USD,16.9800,0.0000,-3.2800,13.7000
2022-06-01,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,GB,United Kingdom,Western Europe,3,0,3,13.66,USD,40.9900,0.0000,-6.8300,34.1600
2022-06-01,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,KR,Korea Republic of,Asia,1,0,1,13.50,USD,13.5000,0.0000,-1.2300,12.2700
2022-06-01,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,KW,Kuwait,Middle East,6,0,6,12.33,USD,73.9800,0.0000,0.0000,73.9800
2022-06-01,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,NZ,New Zealand,Oceania,1,0,1,6.99,USD,6.9900,0.0000,-0.9100,6.0800
2022-06-01,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,RU,Russian Federation,Central Asia,1,0,1,5.00,USD,5.0000,0.0000,-0.8300,4.1700
2022-06-01,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,US,United States,North America,25,0,25,10.32,USD,257.9900,0.0000,-4.1000,253.8900
2022-06-02,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,CA,Canada,North America,5,0,5,37.30,USD,186.5100,0.0000,-21.5500,164.9600
2022-06-02,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,FI,Finland,Western Europe,1,0,1,20.00,USD,20.0000,0.0000,-3.8700,16.1300
2022-06-02,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,FR,France,Western Europe,3,0,3,6.67,USD,20.0000,0.0000,-3.3300,16.6700
2022-06-02,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,GB,United Kingdom,Western Europe,3,0,3,6.67,USD,20.0000,0.0000,-3.3300,16.6700
2022-06-02,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,KW,Kuwait,Middle East,4,0,4,25.99,USD,103.9600,0.0000,0.0000,103.9600
2022-06-02,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,NO,Norway,Western Europe,4,0,4,39.99,USD,159.9600,0.0000,-32.0000,127.9600
2022-06-02,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,US,United States,North America,45,0,45,17.04,USD,766.8300,0.0000,-31.9900,734.8400
2022-06-02,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,ZA,South Africa,Africa,2,0,2,8.49,USD,16.9800,0.0000,-2.2100,14.7700
2022-06-03,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,AU,Australia,Oceania,5,0,5,5.99,USD,29.9500,0.0000,-2.7100,27.2400
2022-06-03,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,BE,Belgium,Western Europe,1,0,1,20.00,USD,20.0000,0.0000,-3.4700,16.5300
2022-06-03,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,CA,Canada,North America,13,0,13,13.49,USD,175.4200,0.0000,-22.0100,153.4100
2022-06-03,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,DE,Germany,Western Europe,5,0,5,14.70,USD,73.4800,0.0000,-11.7400,61.7400
2022-06-03,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,DK,Denmark,Western Europe,1,0,1,13.99,USD,13.9900,0.0000,-2.8000,11.1900
2022-06-03,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,FR,France,Western Europe,2,0,2,15.00,USD,29.9900,0.0000,-5.0000,24.9900
2022-06-03,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,GB,United Kingdom,Western Europe,1,0,1,39.99,USD,39.9900,0.0000,-6.6700,33.3200
2022-06-03,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,IL,Israel,Middle East,1,0,1,4.99,USD,4.9900,0.0000,0.0000,4.9900
2022-06-03,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,MX,Mexico,Latin America,1,0,1,10.00,USD,10.0000,0.0000,-1.3800,8.6200
2022-06-03,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,NL,Netherlands,Western Europe,1,0,1,39.99,USD,39.9900,0.0000,-6.9400,33.0500
2022-06-03,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,NO,Norway,Western Europe,6,0,6,55.50,USD,332.9800,0.0000,-66.6000,266.3800
2022-06-03,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,US,United States,North America,80,0,80,19.17,USD,1533.6500,0.0000,-45.6400,1488.0100
2022-06-04,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,AU,Australia,Oceania,1,0,1,4.99,USD,4.9900,0.0000,-0.4500,4.5400
2022-06-04,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,CA,Canada,North America,10,0,10,8.86,USD,88.5700,0.0000,-10.1600,78.4100
2022-06-04,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,DE,Germany,Western Europe,9,0,9,15.55,USD,139.9600,0.0000,-22.3600,117.6000
2022-06-04,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,FI,Finland,Western Europe,2,0,2,4.99,USD,9.9800,0.0000,-1.9400,8.0400
2022-06-04,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,GB,United Kingdom,Western Europe,1,0,1,9.99,USD,9.9900,0.0000,-1.6700,8.3200
