"Date","APP ID","Game Name","Device","Total Registered Members","Total Verified Members","Newly Registered Members","Newly Verified Members","Newly Unregistered Members","Download","DAU","ARPDAU","Charged UU","Gold Spent","ARPU","ARPPU","Complimentary Gold Spent"
"2022-06-01","50784","Eros Fantasy","ANDROID_APP","109008","42796","132","52","0","42","2938","1.19","3","3497","0.03","1165.67","0"
"2022-06-01","50784","Eros Fantasy","PC","94535","44241","112","54","0","0","2174","11.01","6","23940","0.25","3990","0"
"2022-06-01","50784","Eros Fantasy","TOTAL","211492","87826","255","107","0","42","5020","5.47","9","27437","0.13","3048.56","0"
"2022-06-02","50784","Eros Fantasy","ANDROID_APP","109234","42869","226","73","0","52","3058","8.56","12","26189","0.24","2182.42","0"
"2022-06-02","50784","Eros Fantasy","PC","94677","44298","142","57","0","0","2185","9.4","9","20542","0.22","2282.44","0"
"2022-06-02","50784","Eros Fantasy","TOTAL","211862","87956","370","130","0","52","5147","9.08","21","46731","0.22","2225.29","0"
"2022-06-03","50784","Eros Fantasy","ANDROID_APP","109518","42961","284","92","0","84","3046","12.87","16","39190","0.36","2449.38","0"
"2022-06-03","50784","Eros Fantasy","PC","94894","44390","217","92","0","0","2219","38.93","14","86376","0.91","6169.71","0"
"2022-06-03","50784","Eros Fantasy","TOTAL","212369","88140","507","184","0","84","5170","24.29","30","125566","0.59","4185.53","0"
"2022-06-04","50784","Eros Fantasy","ANDROID_APP","109726","43039","208","78","0","60","2886","13.25","17","38232","0.35","2248.94","0"
"2022-06-04","50784","Eros Fantasy","PC","95040","44448","147","58","1","0","2071","10.13","10","20981","0.22","2098.1","0"
"2022-06-04","50784","Eros Fantasy","TOTAL","212729","88276","361","136","1","60","4875","12.15","27","59213","0.28","2193.07","0"
"2022-06-05","50784","Eros Fantasy","ANDROID_APP","109968","43143","242","104","0","66","2924","17.19","15","50277","0.46","3351.8","0"
"2022-06-05","50784","Eros Fantasy","PC","95168","44500","128","52","0","0","2078","16.19","13","33636","0.35","2587.38","0"
"2022-06-05","50784","Eros Fantasy","TOTAL","213111","88435","382","159","0","66","4932","17.01","28","83913","0.39","2996.89","0"
"2022-06-06","50784","Eros Fantasy","ANDROID_APP","110171","43221","203","78","0","50","2945","11.57","11","34082","0.31","3098.36","0"
"2022-06-06","50784","Eros Fantasy","PC","95295","44552","128","52","1","0","2129","15.7","9","33431","0.35","3714.56","0"
"2022-06-06","50784","Eros Fantasy","TOTAL","213440","88559","330","124","1","50","4995","13.52","20","67513","0.32","3375.65","0"
"2022-06-07","50784","Eros Fantasy","ANDROID_APP","110358","43296","188","75","1","53","2933","19.15","16","56172","0.51","3510.75","0"
"2022-06-07","50784","Eros Fantasy","PC","95422","44602","127","50","0","0","2097","11.25","11","23592","0.25","2144.73","0"
"2022-06-07","50784","Eros Fantasy","TOTAL","213754","88681","315","122","1","53","4936","16.16","27","79764","0.37","2954.22","0"
"2022-06-08","50784","Eros Fantasy","ANDROID_APP","110536","43370","178","74","0","44","2902","20.75","18","60215","0.55","3345.28","0"
"2022-06-08","50784","Eros Fantasy","PC","95596","44674","174","72","0","0","2219","25.63","23","56879","0.6","2473","0"
"2022-06-08","50784","Eros Fantasy","TOTAL","214112","88829","358","148","0","44","5044","23.21","41","117094","0.55","2855.95","0"
"2022-06-09","50784","Eros Fantasy","ANDROID_APP","110739","43448","203","78","0","51","2902","12.99","18","37684","0.34","2093.56","0"
"2022-06-09","50784","Eros Fantasy","PC","95784","44754","188","80","0","0","2185","1.83","4","3999","0.04","999.75","0"
"2022-06-09","50784","Eros Fantasy","TOTAL","214505","88984","393","155","0","51","5014","8.31","22","41683","0.19","1894.68","0"
"2022-06-10","50784","Eros Fantasy","ANDROID_APP","110982","43522","243","74","0","138","2967","25.93","31","76925","0.69","2481.45","0"
"2022-06-10","50784","Eros Fantasy","PC","95878","44797","95","43","1","0","2124","17.11","20","36339","0.38","1816.95","0"
"2022-06-10","50784","Eros Fantasy","TOTAL","214846","89102","342","118","1","138","4961","22.83","51","113264","0.53","2220.86","0"
"2022-06-11","50784","Eros Fantasy","ANDROID_APP","111298","43659","316","137","0","78","2996","23.89","28","71577","0.64","2556.32","0"
"2022-06-11","50784","Eros Fantasy","PC","96117","44891","239","94","0","0","2224","65.44","34","145530","1.52","4280.29","0"
"2022-06-11","50784","Eros Fantasy","TOTAL","215406","89330","560","228","0","78","5126","42.35","62","217107","1.01","3501.73","0"
"2022-06-12","50784","Eros Fantasy","ANDROID_APP","111578","43758","280","99","0","66","3084","24.21","29","74666","0.67","2574.69","0"
"2022-06-12","50784","Eros Fantasy","PC","96326","44980","209","89","0","0","2203","15.42","16","33978","0.35","2123.63","0"
"2022-06-12","50784","Eros Fantasy","TOTAL","215903","89519","497","189","0","66","5203","20.88","45","108644","0.5","2414.31","0"
"2022-06-13","50784","Eros Fantasy","ANDROID_APP","111811","43833","235","75","2","61","3151","21.3","24","67116","0.6","2796.5","0"
"2022-06-13","50784","Eros Fantasy","PC","96469","45043","143","63","0","0","2221","10.13","8","22492","0.23","2811.5","0"
"2022-06-13","50784","Eros Fantasy","TOTAL","216288","89661","387","142","2","61","5261","17.03","32","89608","0.42","2800.25","0"
"2022-06-14","50784","Eros Fantasy","ANDROID_APP","112008","43919","197","86","0","59","3085","11.86","9","36585","0.33","4065","0"
"2022-06-14","50784","Eros Fantasy","PC","96649","45121","180","78","0","0","2261","13.17","11","29785","0.31","2707.73","0"
"2022-06-14","50784","Eros Fantasy","TOTAL","216669","89824","381","163","0","59","5247","12.65","20","66370","0.31","3318.5","0"
"2022-06-15","50784","Eros Fantasy","ANDROID_APP","112193","43999","185","80","0","43","3065","9.05","17","27741","0.25","1631.82","0"
"2022-06-15","50784","Eros Fantasy","PC","96779","45187","130","66","0","0","2156","8.88","7","19141","0.2","2734.43","0"
"2022-06-15","50784","Eros Fantasy","TOTAL","216988","89968","319","144","0","43","5115","9.17","24","46882","0.22","1953.42","0"
"2022-06-16","50784","Eros Fantasy","ANDROID_APP","112406","44071","213","72","0","51","3129","10.08","15","31541","0.28","2102.73","0"
"2022-06-16","50784","Eros Fantasy","PC","96889","45237","110","50","0","0","2138","10.08","6","21548","0.22","3591.33","0"
"2022-06-16","50784","Eros Fantasy","TOTAL","217317","90090","329","122","0","51","5172","10.26","21","53089","0.24","2528.05","0"
"2022-06-17","50784","Eros Fantasy","ANDROID_APP","112686","44169","280","98","0","56","3173","8.21","27","26037","0.23","964.33","0"
"2022-06-17","50784","Eros Fantasy","PC","97006","45298","117","61","0","0","2108","7.96","14","16788","0.17","1199.14","0"
"2022-06-17","50784","Eros Fantasy","TOTAL","217719","90250","402","160","0","56","5187","8.26","41","42825","0.2","1044.51","0"
"2022-06-18","50784","Eros Fantasy","ANDROID_APP","112888","44247","202","78","0","46","2923","8.09","12","23634","0.21","1969.5","0"
"2022-06-18","50784","Eros Fantasy","PC","97111","45345","105","47","0","0","2004","4.71","6","9446","0.1","1574.33","0"
"2022-06-18","50784","Eros Fantasy","TOTAL","218033","90375","314","125","0","46","4861","6.81","18","33080","0.15","1837.78","0"
"2022-06-19","50784","Eros Fantasy","ANDROID_APP","113083","44321","195","74","0","36","2942","1.87","9","5493","0.05","610.33","0"
"2022-06-19","50784","Eros Fantasy","PC","97195","45384","84","39","0","0","1932","23.41","4","45237","0.47","11309.25","0"
"2022-06-19","50784","Eros Fantasy","TOTAL","218320","90488","287","113","0","36","4803","10.56","13","50730","0.23","3902.31","0"
"2022-06-20","50784","Eros Fantasy","ANDROID_APP","113244","44391","162","70","1","43","2918","5.6","7","16342","0.14","2334.57","0"
"2022-06-20","50784","Eros Fantasy","PC","97358","45456","163","72","0","0","2120","2.64","8","5593","0.06","699.13","0"
"2022-06-20","50784","Eros Fantasy","TOTAL","218647","90630","328","142","1","43","4965","4.42","15","21935","0.1","1462.33","0"
"2022-06-21","50784","Eros Fantasy","ANDROID_APP","113418","44464","174","73","0","53","2880","3.26","9","9395","0.08","1043.89","0"
"2022-06-21","50784","Eros Fantasy","PC","97455","45497","97","41","0","0","2041","3.06","5","6248","0.06","1249.6","0"
"2022-06-21","50784","Eros Fantasy","TOTAL","218928","90742","281","112","0","53","4840","3.23","14","15643","0.07","1117.36","0"
"2022-06-22","50784","Eros Fantasy","ANDROID_APP","113591","44527","173","63","0","36","2793","5.01","14","13989","0.12","999.21","0"
"2022-06-22","50784","Eros Fantasy","PC","97548","45545","93","48","0","0","1929","1.56","2","3000","0.03","1500","0"
"2022-06-22","50784","Eros Fantasy","TOTAL","219197","90854","269","112","0","36","4636","3.66","16","16989","0.08","1061.81","0"
"2022-06-23","50784","Eros Fantasy","ANDROID_APP","113742","44588","151","61","0","43","2780","1.63","4","4544","0.04","1136","0"
"2022-06-23","50784","Eros Fantasy","PC","97614","45579","66","34","0","0","1898","3.98","4","7547","0.08","1886.75","0"
"2022-06-23","50784","Eros Fantasy","TOTAL","219418","90947","221","93","0","43","4600","2.63","8","12091","0.06","1511.38","0"
